patients.address_found,patients.admitted_at,patients.admitted_by,patients.city_found,patients.clinical_signs,patients.common_name,patients.county_found,patients.diagnosis,patients.disposition,patients.found_at,patients.keywords,patients.lat_found,patients.lng_found,patients.name,patients.notes_about_rescue,patients.reason_for_disposition,patients.reasons_for_admission,patients.release_type,species.genus,species.species
106 Lakewood Drive,2021-05-11 09:45:00,CC,Stephens City,,Ovenbird,Frederick,W - Window Strike,Released,2021-05-11,,,,,will release,Ready for release,window strike,,Seiurus,aurocapilla
12000 Mastbrook Lane,2021-05-11 11:05:00,CC,Manassas,,Veery,Prince William,W - Window Strike,Released,2021-05-11,,,,,,Ready for release,window strike,Hard,Catharus,fuscescens
9742 Kinloss Mews Road,2021-05-11 12:00:00,CC,Bristow,,Eastern Cottontail,Prince William,D - Domestic animal attack,Euthanized in 24hr,2021-05-11,cat attack,,,,,Poor Prognosis,cat attack,,Sylvilagus,floridanus
4380 King Street,2021-05-11 12:02:00,CC,Alexandria,,Mallard,Fairfax,B - Baby,Released,2021-05-10,"B - Baby, abandoned",,,,,Ready for release,"abandoned- tried reunited for 3 hours, couldn't find other ducks anywhere",,Anas,platyrhynchos
Breaux Vinyard,2021-05-11 12:24:00,CC,Purcellville,,House Finch,Loudoun,B - Baby,Euthanized +24hr,2021-05-11,"B - Baby, abducted, finder negligence",,,,,Poor Prognosis,"taken home from winery, didn't see adults while there, been feeding wet cat food since yesterday evening",,Haemorhous,mexicanus
19210 Silcott Springs Road,2021-05-11 13:39:00,CC,Purcellville,,Eastern Cottontail,Loudoun,D - Domestic animal attack,Died in 24hr,2021-05-11,dog attack,,,,finder put non-medicated neosporin on cut,Natural Death,dog attack,,Sylvilagus,floridanus
Walgreens- South end of Culpeper beside 602 and Madison Road,2021-05-11 14:38:00,CC,Culpeper,,House Sparrow,Culpeper,X - Invasive,Euthanized in 24hr,2021-05-11,suspect cat attack,,,,,Invasive,found in road next to dead sibling,,Passer,domesticus
267 Lora Drive,2021-05-11 14:43:00,CC,Woodstock,,American Robin,Shenandoah,B - Baby,Released,2021-05-11,"B - Baby, fell from nest, finder negligence",,,,,Ready for release,nest fell in neighbors yard,,Turdus,migratorius
267 Lora Drive,2021-05-11 14:43:00,CC,Woodstock,,American Robin,Shenandoah,B - Baby,Released,2021-05-11,"B - Baby, fell from nest, finder negligence",,,,,Ready for release,nest fell in neighbors yard,,Turdus,migratorius
267 Lora Drive,2021-05-11 14:43:00,CC,Woodstock,,American Robin,Shenandoah,B - Baby,Released,2021-05-11,"B - Baby, fell from nest, finder negligence",,,,,Ready for release,nest fell in neighbors yard,,Turdus,migratorius
267 Lora Drive,2021-05-11 14:55:00,CC,Woodstock,,Common Grackle,Shenandoah,B - Baby,Released,2021-05-11,"B - Baby, fell from nest, finder negligence",,,,,Ready for release,nest fell in neighbors yard,,Quiscalus,quiscula
Strasburg Road,2021-05-11 15:13:00,CC,Strasburg,,Canada Goose,Shenandoah,B - Baby,Released,2021-05-11,"B - Baby, orphan, mother HBV",,,,,Ready for release,"mom HBV, finder brought in babies",,Branta,canadensis
Strasburg Road,2021-05-11 15:13:00,CC,Strasburg,,Canada Goose,Shenandoah,B - Baby,Died +24hr,2021-05-11,"B - Baby, orphan, mother HBV",,,,,Natural Death,"mom HBV, finder brought in babies",,Branta,canadensis
Strasburg Road,2021-05-11 15:13:00,CC,Strasburg,,Canada Goose,Shenandoah,B - Baby,Died +24hr,2021-05-11,"B - Baby, orphan, mother HBV",,,,,Natural Death,"mom HBV, finder brought in babies",,Branta,canadensis
738 E Main Street,2021-05-11 15:39:00,CC,Berryville,,White-footed Mouse,Clarke,U - Unknown,Dead on arrival,2021-05-11,,,,,,Dead on arrival,possible poisoning,,Peromyscus,leucopus
738 E Main Street,2021-05-11 15:45:00,CC,Berryville,,Northern Short-tailed Shrew,Clarke,U - Unknown,Dead on arrival,2021-05-11,,,,,,Dead on arrival,possible poisoning,,Blarina,brevicauda
Roatts Hill Road/Lees Mill Road,2021-05-11 15:55:00,CC,Warrenton,,Virginia Opossum,Fauquier,B - Baby,Released,2021-05-11,"B - Baby, mother HBV, orphan",,,,,Ready for release,mom HBV,,Didelphis,virginiana
Roatts Hill Road/Lees Mill Road,2021-05-11 15:55:00,CC,Warrenton,,Virginia Opossum,Fauquier,B - Baby,Released,2021-05-11,"B - Baby, mother HBV, orphan",,,,,Ready for release,mom HBV,,Didelphis,virginiana
Roatts Hill Road/Lees Mill Road,2021-05-11 15:55:00,CC,Warrenton,,Virginia Opossum,Fauquier,B - Baby,Released,2021-05-11,"B - Baby, mother HBV, orphan",,,,,Ready for release,mom HBV,,Didelphis,virginiana
Roatts Hill Road/Lees Mill Road,2021-05-11 15:55:00,CC,Warrenton,,Virginia Opossum,Fauquier,B - Baby,Transferred,2021-05-11,"B - Baby, mother HBV, orphan",,,,,Continued Care,mom HBV,,Didelphis,virginiana
Roatts Hill Road/Lees Mill Road,2021-05-11 15:55:00,CC,Warrenton,,Virginia Opossum,Fauquier,B - Baby,Transferred,2021-05-11,"B - Baby, mother HBV, orphan",,,,,Continued Care,mom HBV,,Didelphis,virginiana
Tenerife Road,2021-05-11 16:36:00,CC,Catlett,,Woodland Box Turtle,Fauquier,T - Unknown Trauma,Released,2021-05-11,,,,,,Ready for release,cracked shell,Hard,Terrapene,Carolina
44 Dellinger Drive,2021-05-11 16:56:00,CC,Inwood,,European Starling,Berkeley,X - Invasive,Euthanized in 24hr,2021-05-11,suspect window,,,,,Invasive,sitting in parking lot- swollen eye,,Sturnus,vulgaris
109 Keverne Court,2021-05-11 17:03:00,CC,Stephens City,,American Robin,Frederick,D - Domestic animal attack,Released,2021-05-11,"B - Baby, cat attack",,,,,Ready for release,cat attack,,Turdus,migratorius
41732 Bloomfield Path St,2021-05-12 11:08:00,JR,Ashburn,,American Robin,Loudoun,B - Baby,Died +24hr,2021-05-12,"B - Baby, fell from nest, small",,,,,Natural Death,"found in the driveway - nest destroyed and other babies missing, out out near nest with camera but did not see adult, kept overnight",,Turdus,migratorius
436 Superior Avenue,2021-05-12 12:34:00,CC,Winchester,,Eastern Cottontail,Frederick,D - Domestic animal attack,Released,2021-05-12,cat attack,,,,,Ready for release,cat attack,,Sylvilagus,floridanus
Tilthammer Hill Road near the two horse fields by Island Farm,2021-05-12 13:34:00,CC,Millwood,,Woodland Box Turtle,Clarke,H - Hit by Vehicle,Euthanized in 24hr,2021-05-12,,,,,,Poor Prognosis,HBV,,Terrapene,Carolina
101 Bing Court,2021-05-12 13:36:00,CC,Winchester,,American Robin,Frederick,D - Domestic animal attack,Released,2021-05-12,"B - Baby, dog attack",,,,,Ready for release,found in backyard by dog,,Turdus,migratorius
3 Crimson Way,2021-05-12 13:54:00,CC,Fredericksburg,,Mourning Dove,Stafford,T - Unknown Trauma,Released,2021-05-12,suspect cat attack,,,,,Ready for release,"missing feathers, not flying",Hard,Zenaida,macroura
Restruation Drive / South Run Rec Center,2021-05-12 15:51:00,CC,Fairfax,,Tree Swallow,Fairfax,T - Unknown Trauma,Died +24hr,2021-05-12,,,,,came with egg from Pender,Natural Death,wing injury,,Tachycineta,bicolor
Sterling Goodwill,2021-05-12 16:40:00,CC,Sterling,,American Robin,Loudoun,T - Unknown Trauma,Euthanized in 24hr,2021-05-12,"B - Baby, crow attack",,,,,Poor Prognosis,"attacked by crows, eye injury",,Turdus,migratorius
not given,2021-05-12 17:00:00,CC,not given,,House Finch,Fairfax,T - Unknown Trauma,Dead on arrival,2021-05-12,"B - Baby, suspect window strike",,,,,Dead on arrival,head not pivoting,,Haemorhous,mexicanus
10617 Braddock Road,2021-05-12 17:03:00,CC,Fairfax,,American Woodcock,Fairfax,T - Unknown Trauma,Euthanized in 24hr,2021-05-12,suspect window,,,,,Poor Prognosis,eye/head injury,,Scolopax,minor
553 Misty Meadow Drive,2021-05-12 17:04:00,CC,Winchester,,Eastern Cottontail,Frederick,M - Human non-intentional,Transferred,2021-05-12,B - Baby,,,,,Continued Care,ran over top with mower-blades not down,,Sylvilagus,floridanus
North Hatcher,2021-05-12 17:06:00,CC,Purcellville,,Northern Cardinal,Loudoun,T - Unknown Trauma,Dead on arrival,2021-05-12,suspect HBV,,,,,Dead on arrival,found in street,,Cardinalis,cardinalis
43470 Greenwich Square,2021-05-12 17:08:00,CC,Ashburn,,House Finch,Loudoun,P - Predator Attack,Euthanized in 24hr,2021-05-11,"B - Baby, crow attack",,,,,Poor Prognosis,attacked by crows,,Haemorhous,mexicanus
3019 Emery Loop (Quantico Marine Corps Base),2021-05-12 17:09:00,CC,Quantico,,Bald Eagle,Stafford,S - Non-infectious Disease,Released,2021-05-12,"B - Baby, abandoned",,,,,Ready for release,"workers found eagle on pile of logs at 9am, wildlife staff went to site at 1pm, no nest visable, no adult eagles in area",,Haliaeetus,leucocephalus
unknown,2021-05-13 08:47:00,CC,Luray,,White-footed Mouse,Shenandoah,S - Non-infectious Disease,Euthanized in 24hr,2021-05-13,"B - Baby, small",,,,,Poor Prognosis,abducted or failed renesting,,Peromyscus,leucopus
unknown,2021-05-13 08:47:00,CC,Luray,,White-footed Mouse,Shenandoah,S - Non-infectious Disease,Euthanized in 24hr,2021-05-13,"B - Baby, small",,,,,Poor Prognosis,abducted or failed renesting,,Peromyscus,leucopus
6837 Bryson Circle,2021-05-13 08:49:00,CC,Haymarket,,Eastern Cottontail,Prince William,S - Non-infectious Disease,Died in 24hr,2021-05-13,"B - Baby, finder negligence",,,,Sheryl gave 1.5mls LRS SQ,Natural Death,finder had for 3 days,,Sylvilagus,floridanus
Sam Fred Road,2021-05-13 10:28:00,CC,Middleburg,,Barred Owl,Loudoun,A - Abduction,Released,2021-05-13,"B - Baby, fell from nest, successful renesting",,,,,Ready for release,"in road-healthy, released",Reunite with family,Strix,varia
331 Victory Road,2021-05-13 10:30:00,CC,Winchester,,Mourning Dove,Frederick,T - Unknown Trauma,Euthanized in 24hr,2021-05-13,,,,,,Poor Prognosis,found on ground,,Zenaida,macroura
16080 Gold Cup Lane,2021-05-13 10:43:00,CC,Paeonian Springs,,Northern Cardinal,Loudoun,S - Non-infectious Disease,Euthanized in 24hr,2021-05-13,,,,,,Poor Prognosis,"hopping around, unable to fly",,Cardinalis,cardinalis
4928 Stonewall Jackson Highway,2021-05-13 11:02:00,CC,Bentonville,,White-footed Mouse,Warren,S - Non-infectious Disease,Died in 24hr,2021-05-13,"B - Baby, abandoned",,,,,Natural Death,"lateral, cold, eyes closed in yard",,Peromyscus,leucopus
3935 Penshurst Ln,2021-05-13 11:18:00,AB,Woodbridge,,Eastern Gray Squirrel,Prince William,T - Unknown Trauma,Euthanized in 24hr,2021-05-13,blind,,,,,Poor Prognosis,Hurt legs,,Sciurus,carolinensis
Burke Street,2021-05-13 13:07:00,CC,Martinsburg,,European Starling,Berkeley,X - Invasive,Euthanized in 24hr,2021-05-13,suspect window,,,,,Invasive,found in road,,Sturnus,vulgaris
553 Misty Meadow Drive,2021-05-13 14:05:00,CC,Winchester,,Eastern Cottontail,Frederick,D - Domestic animal attack,Dead on arrival,2021-05-13,"dog attack, B - Baby",,,,,Dead on arrival,dog attack,,Sylvilagus,floridanus
131 Eleven Moons Place,2021-05-14 08:36:00,CC,Stephens City,,American Robin,Frederick,D - Domestic animal attack,Released,2021-05-14,"B - Baby, dog attack",,,,will release,Ready for release,"picked up by dog, possible wing injury",,Turdus,migratorius
300 Winding Hill Road,2021-05-14 10:09:00,CC,Winchester,,Virginia Opossum,Frederick,I - Infectious Disease,Euthanized in 24hr,2021-05-14,"age-related, besnoitia, ascarids",,,,,Poor Prognosis,"weak hind end use, no fear of humans",,Didelphis,virginiana
2432-158 Berryville Pike,2021-05-14 10:40:00,CC,Winchester,,Groundhog,Frederick,M - Human non-intentional,Released,2021-05-14,"B - Baby, garden netting",,,,will release,Ready for release,wrapped up in plastic and vines,,Marmota,monax
15841 Huntor Lane,2021-05-14 10:42:00,CC,Haymarket,,Eastern Bluebird,Prince William,T - Unknown Trauma,Died in 24hr,2021-05-14,predator attack,,,,will release,Natural Death,sparrow was fighting it in blue bird house,,Sialia,sialis
422 Summit Avenue,2021-05-14 13:07:00,CC,Winchester,,House Finch,Frederick,I - Infectious Disease,Euthanized +24hr,2021-05-14,Mycoplasma,,,,,Poor Prognosis,"found on the road, cant fly",,Haemorhous,mexicanus
41 Dorothy Court,2021-05-14 13:08:00,CC,Inwood,,American Robin,Berkeley,T - Unknown Trauma,Died in 24hr,2021-05-14,B - Baby,,,,will release,Natural Death,can't fly,,Turdus,migratorius
217 Messick Road,2021-05-14 13:48:00,CC,Strasburg,,Eastern Cottontail,Warren,D - Domestic animal attack,Euthanized in 24hr,2021-05-14,"dog attack, B - Baby",,,,,Poor Prognosis,dog attack,,Sylvilagus,floridanus
277 Rossman Blvd,2021-05-14 16:00:00,CC,Winchester,,Mourning Dove,Frederick,T - Unknown Trauma,Euthanized +24hr,2021-05-14,suspect HBV,,,,,Poor Prognosis,possible HBV,,Zenaida,macroura
406 Walker Street,2021-05-14 17:03:00,CC,Winchester,,Northern Raccoon,Frederick,T - Unknown Trauma,Euthanized in 24hr,2021-05-14,"suspect predator attack, suspect HBV, suspect rabies",,,,,Poor Prognosis,"Raccoon was injured on arrival, glazed eyes, unsteady feet",,Procyon,lotor
22693 St Louis Road,2021-05-14 17:07:00,CC,Middleburg,,Eastern Bluebird,Loudoun,D - Domestic animal attack,Died in 24hr,2021-05-14,"B - Baby, cat attack",,,,,Natural Death,cat attack,,Sialia,sialis
362 Hughs Road,2021-05-14 17:11:00,CC,Charles Town,,American Robin,Jefferson,T - Unknown Trauma,Euthanized in 24hr,2021-05-14,"B - Baby, suspect cat attack",,,,,Poor Prognosis,"down, not moving all day, eye bulging",,Turdus,migratorius
80 Fairfax Pk,2021-05-14 17:25:00,CC,Stephens City,,Virginia Opossum,Frederick,T - Unknown Trauma,Died in 24hr,2021-05-14,trauma,,,,,Natural Death,"back legs not supporting weight, tail had been cut",,Didelphis,virginiana
Ryco Lane and Millwood Pike,2021-05-15 07:51:00,CC,Winchester,,American Woodcock,Frederick,T - Unknown Trauma,Died in 24hr,2021-05-15,suspect HBV,,,,,Natural Death,possible HBV,,Scolopax,minor
38170 Stevens Road,2021-05-15 09:23:00,CC,Lovettsville,,Eastern Cottontail,Loudoun,D - Domestic animal attack,Euthanized in 24hr,2021-05-15,cat attack,,,,,Poor Prognosis,cat attack,,Sylvilagus,floridanus
1 Longstreet Ave,2021-05-15 10:23:00,CC,Round Hill,,Northern Cardinal,Loudoun,D - Domestic animal attack,Euthanized in 24hr,2021-05-15,"dog attack, B - Baby",,,,,Poor Prognosis,dog attack,,Cardinalis,cardinalis
13219 John Marshall Highway,2021-05-15 10:25:00,CC,Linden,,Eastern Wood Pewee,Fauquier,B - Baby,Died +24hr,2021-05-15,"B - Baby, failed renesting",,,,,Natural Death,"fell from nest, attempted renesting but failed",,Contopus,virens
13219 John Marshall Highway,2021-05-15 10:25:00,CC,Linden,,Eastern Phoebe,Fauquier,B - Baby,Died in 24hr,2021-05-15,"B - Baby, failed renesting",,,,,Natural Death,"fell from nest, attempted renesting but failed",,Sayornis,phoebe
13219 John Marshall Highway,2021-05-15 10:25:00,CC,Linden,,Eastern Phoebe,Fauquier,B - Baby,Died +24hr,2021-05-15,"B - Baby, failed renesting",,,,,Natural Death,"fell from nest, attempted renesting but failed",,Sayornis,phoebe
25 Patriot Way,2021-05-15 10:35:00,CC,Stafford,,Eastern Cottontail,Stafford,D - Domestic animal attack,Dead on arrival,2021-05-15,dog attack,,,,,Dead on arrival,dog attack,,Sylvilagus,floridanus
25 Patriot Way,2021-05-15 10:35:00,CC,Stafford,,Eastern Cottontail,Stafford,D - Domestic animal attack,Dead on arrival,2021-05-15,dog attack,,,,,Dead on arrival,dog attack,,Sylvilagus,floridanus
40793 Lovettsville Road,2021-05-15 11:28:00,CC,Lovettsville,,Black Vulture,Loudoun,H - Hit by Vehicle,Euthanized in 24hr,2021-05-15,,,,,,Poor Prognosis,HBV,,Coragyps,atratus
3162 Le Banou Lane,2021-05-15 12:51:00,CC,Jeffersonton,,Baltimore Oriole,Culpeper,U - Unknown,Died in 24hr,2021-05-15,,,,,,Natural Death,cannot fly,,Icterus,galbula
Great Falls Vet,2021-05-15 14:13:00,CC,Great Falls,,Eastern Gray Squirrel,Loudoun,N - Natural Event,Euthanized in 24hr,2021-05-15,,,,,here for wellness check,Poor Prognosis,"Juvie, furred, eyes open, covered in snot, very weak, dehydrated, upper respiratory infection",,Sciurus,carolinensis
332 E. Piccadilly Street,2021-05-15 14:15:00,CC,Winchester,,Mourning Dove,Frederick,T - Unknown Trauma,Euthanized in 24hr,2021-05-15,B - Baby,,,,,Poor Prognosis,"cant fly, bleeding",,Zenaida,macroura
39454 Rickard Road,2021-05-15 15:40:00,CC,Lovettsville,,Fish Crow,Loudoun,T - Unknown Trauma,Euthanized in 24hr,2021-05-15,trauma,,,,,Poor Prognosis,"hopping around in grass, leg injury",,Corvus,ossifragus
37245 Jefferson Pike (Exxon Gas Station),2021-05-15 17:42:00,CC,Purcellville,,Northern Raccoon,Loudoun,I - Infectious Disease,Euthanized in 24hr,2021-05-15,distemper suspect,,,,,Poor Prognosis,"found in road, staggering, head injury",,Procyon,lotor
104 Jefferson Rd,2021-05-16 08:45:00,CM,Great Falls,,Red-shouldered Hawk,Fairfax,T - Unknown Trauma,Euthanized in 24hr,2021-05-15,,,,,,Poor Prognosis,poss fx R humerus,,Buteo,lineatus
507 Hupps Hill Ct,2021-05-16 08:47:00,CM,Strasburg,,American Robin,Shenandoah,T - Unknown Trauma,Died in 24hr,2021-05-16,B - Baby,,,,,Natural Death,"in the road, thought it was injured",,Turdus,migratorius
3973 Rockland Rd,2021-05-16 09:16:00,CM,Front Royal,,House Wren,Warren,D - Domestic animal attack,Released,2021-05-16,cat attack,,,,,Ready for release,cat attack,,Troglodytes,aedon
7136 Bethel Dr E,2021-05-16 10:21:00,CM,Warrenton,,American Robin,Fauquier,D - Domestic animal attack,Released,2021-05-16,"B - Baby, cat attack",,,,,Ready for release,cat attack,,Turdus,migratorius
987 Wilderness Rd,2021-05-16 11:02:00,CM,Linden,,Scarlet Tanager,Warren,T - Unknown Trauma,Released,2021-05-16,,,,,,Ready for release,"on the ground, hopping, unable to fly",,Piranga,olivacea
208 Ruffners Ferry,2021-05-16 11:20:00,CM,Luray,,Eastern Cottontail,Warren,D - Domestic animal attack,Euthanized in 24hr,2021-05-16,cat attack,,,,,Poor Prognosis,cat attack,,Sylvilagus,floridanus
"Stafford City Regional Airport, 95",2021-05-16 11:37:00,CM,Stafford,,Bald Eagle,Stafford,H - Hit by Vehicle,Euthanized in 24hr,2021-05-16,plane strike,,,,,Poor Prognosis,ran into a small plane while it was landing,,Haliaeetus,leucocephalus
47 Tomahawk Way,2021-05-16 12:28:00,CM,Linden,,Gray Catbird,Warren,D - Domestic animal attack,Euthanized in 24hr,2021-05-16,"cat attack, B - Baby",,,,,Poor Prognosis,"cat attacked nest, killed siblings, wounded this one",,Dumetella,carolinensis
by the railroad in White Post,2021-05-16 12:30:00,CM,White Post,,Eastern Ratsnake,Clarke,H - Hit by Vehicle,Died +24hr,2021-05-16,,,,,,Natural Death,"in the road, HBV",,Pantherophis,alleghaniensis
933 Berrys Ferry Rd,2021-05-16 13:24:00,CM,White Post,,Groundhog,Clarke,B - Baby,Released,2021-05-16,"B - Baby, successful renesting",,,,"health check by vet staff - no injuries, return for reuniting",Ready for release,"found in horse shed, buried in shavings",,Marmota,monax
x,2021-05-16 13:39:00,CM,x,,Virginia Opossum,Stafford,B - Baby,Transferred,2021-05-16,B - Baby,,,,,Continued Care,"poss MBD, in for RADs and vet check",,Didelphis,virginiana
3689 Panhandle Rd,2021-05-16 14:13:00,CM,Front Royal,,Eastern Gray Squirrel,Warren,D - Domestic animal attack,Died in 24hr,2021-05-16,cat attack,,,,,Natural Death,"found in the house, suspect cat attack",,Sciurus,carolinensis
2260 Stonewall Jackson Hwy,2021-05-16 14:15:00,CM,Bentonville,,Blue Jay,Warren,T - Unknown Trauma,Died in 24hr,2021-05-16,,,,,,Poor Prognosis,"flopping in the grass, unable to fly",,Cyanocitta,cristata
Rt 66 mile marker 14.2,2021-05-16 14:40:00,CM,Front Royal,,Red-tailed Hawk,Warren,H - Hit by Vehicle,Euthanized +24hr,2021-05-16,,,,,,Poor Prognosis,"HBV, noted wing, leg and head injury",,Buteo,jamaicensis
15306 Harmony Hill Ct,2021-05-16 16:43:00,JA,Centreville,,Northern Mole Kingsnake,Fairfax,M - Human non-intentional,Released,2021-05-16,garden netting,,,,,Ready for release,caught in mesh netting,Hard,Lampropeltis,Calligaster
120 Bluebird Ln on Shenandoah River in Calmes Neck,2021-05-16 16:46:00,JA,Boyce,,Wood Duck,Clarke,B - Baby,Died +24hr,2021-05-16,"B - Baby, abandoned",,,,,Natural Death,"Found alone on the river, no adult or nest or other ducklings in sight, struggling in river.",,Aix,sponsa
153 Blackford Dr,2021-05-16 16:48:00,JA,Stephenson,,American Robin,Frederick,M - Human non-intentional,Released,2021-05-16,"B - Baby, successful renesting",,,,,Ready for release,bird was found dangling from a nest - foot caught in plastic used in the nest. Bleeding from wing.,,Turdus,migratorius
201 Pine Frederick Dr,2021-05-16 17:02:00,CM,Winchester,,Eastern Gray Squirrel,Frederick,T - Unknown Trauma,Euthanized +24hr,2021-05-16,,,,,,Poor Prognosis,mowing and came across the injured baby squirrel,,Sciurus,carolinensis
545 Radio Station Rd,2021-05-16 17:54:00,CM,Strasburg,,American Robin,Shenandoah,M - Human non-intentional,Released,2021-05-16,"B - Baby, unwilling to renest",,,,"unwilling to renest, did not call for advice prior to drop-off",Ready for release,nest built on the bumper of a tractor-trailer being dropped off at Americold; finders unwilling to renest,,Turdus,migratorius
545 Radio Station Rd,2021-05-16 17:54:00,CM,Strasburg,,American Robin,Shenandoah,M - Human non-intentional,Released,2021-05-16,"B - Baby, unwilling to renest",,,,"unwilling to renest, did not call for advice prior to drop-off",Ready for release,nest built on the bumper of a tractor-trailer being dropped off at Americold; finders unwilling to renest,,Turdus,migratorius
545 Radio Station Rd,2021-05-16 17:54:00,CM,Strasburg,,American Robin,Shenandoah,M - Human non-intentional,Released,2021-05-16,"B - Baby, unwilling to renest",,,,"unwilling to renest, did not call for advice prior to drop-off",Ready for release,nest built on the bumper of a tractor-trailer being dropped off at Americold; finders unwilling to renest,,Turdus,migratorius
I-95 over Occoquan River,2021-05-17 08:50:00,AB,Woodbridge,,Bald Eagle,Prince William,T - Unknown Trauma,Died +24hr,2021-05-16,,,,,Was brought to Pender Vet evening of 5/16,Natural Death,Broken right wing and right let - maggots in wing,,Haliaeetus,leucocephalus
302 Vine Lane,2021-05-17 08:59:00,AB,Winchester,,European Starling,Frederick,X - Invasive,Euthanized in 24hr,2021-05-17,cat attack,,,,,Invasive,Cat attack,,Sturnus,vulgaris
1411 Zion Church Rd,2021-05-17 09:52:00,AB,Maurertown,,American Robin,Shenandoah,P - Predator Attack,Euthanized +24hr,2021-05-17,"B - Baby, crow attack",,,,,Poor Prognosis,Attack by crows/bloody beak,,Turdus,migratorius
687 Crosswinds Dr,2021-05-17 09:56:00,AB,Charles Town,,House Sparrow,Jefferson,X - Invasive,Euthanized in 24hr,2021-05-17,"B - Baby, cat attack",,,,,Invasive,Cat attack,,Passer,domesticus
2137 Swimley Rd,2021-05-17 10:31:00,AB,Berryville,,American Toad,Clarke,T - Unknown Trauma,Euthanized +24hr,2021-05-16,landscaping,,,,,Poor Prognosis,"Hit by tractor, not moving.",,Anaxyrus,Americanus
216 Craigs Run Court,2021-05-17 10:54:00,AB,Berryville,,European Starling,Clarke,M - Human non-intentional,Euthanized in 24hr,2021-05-15,landscaping,,,,,Invasive,Hit with hedge clippers,,Sturnus,vulgaris
3414 Guard Hill Rd,2021-05-17 10:57:00,AB,Front Royal,,Northern Mockingbird,Warren,D - Domestic animal attack,Released,2021-05-16,"B - Baby, cat attack",,,,,Ready for release,Cat attack,,Mimus,polyglottos
3414 Guard Hill Rd,2021-05-17 10:57:00,AB,Front Royal,,Northern Mockingbird,Warren,D - Domestic animal attack,Released,2021-05-16,"cat attack, B - Baby",,,,,Ready for release,Cat attack,,Mimus,polyglottos
1506 Augustine Ave,2021-05-17 13:38:00,AB,Fredericksburg,,Mourning Dove,Stafford,T - Unknown Trauma,Euthanized in 24hr,2021-05-17,suspect window,,,,Found next to house and could not fly.,Poor Prognosis,Possible collision,,Zenaida,macroura
419 Warm Springs Ave,2021-05-17 13:40:00,AB,Martinsburg,,Common Grackle,Berkeley,T - Unknown Trauma,Euthanized in 24hr,2021-05-17,,,,,,Poor Prognosis,Missing an eye,,Quiscalus,quiscula
243 Washington Dr.,2021-05-17 14:23:00,AB,Ruther Glen,,Eastern Cottontail,Caroline,M - Human non-intentional,Euthanized in 24hr,2021-05-16,Lawnmower,,,,,Poor Prognosis,Lawnmower accident,,Sylvilagus,floridanus
826 Bowers Rd,2021-05-17 19:43:00,CM,Kearneysville,,Turkey Vulture,Jefferson,K - Toxicity,Died +24hr,2021-05-17,"lead, trauma",,,,,Natural Death,Found down unable to fly?,,Cathartes,aura
Nesting Square,2021-05-18 08:58:00,CC,Chantilly,,Red Fox,Loudoun,S - Non-infectious Disease,Euthanized +24hr,2021-05-17,"congenital issue, hydrocephalus",,,,no direct exposure,Poor Prognosis,limped up to finder,,Vulpes,vulpes
9620 Autumn Place,2021-05-18 08:59:00,CC,Manassas,,Broad-headed Skink,Prince William,A - Abduction,Released,2021-05-18,,,,,will release,Ready for release,pest company sprayed for ants about a week ago and now skink is acting insane,Hard,Plestiodon,Laticeps
unknown,2021-05-18 09:24:00,CC,unknown,,Virginia Opossum,Stafford,T - Unknown Trauma,Released,2021-05-18,,,,,,Ready for release,soft skull,,Didelphis,virginiana
1840 Hudson Hollow Road,2021-05-18 11:29:00,CC,Stephens City,,Woodland Box Turtle,Clarke,I - Infectious Disease,Released,2021-05-18,"URI, Mycoplasma",,,,will release,Ready for release,"found boxed in around lumber, unable to open eyes at the time, had pus",,Terrapene,Carolina
150 Pony Circle,2021-05-18 11:31:00,CC,Martinsburg,,American Robin,Berkeley,T - Unknown Trauma,Died in 24hr,2021-05-18,B - Baby,,,,,Natural Death,"found on ground, not standing, covered in ants",,Turdus,migratorius
9 Meskill Court,2021-05-18 12:03:00,CC,Sterling,,Woodland Box Turtle,Loudoun,A - Abduction,Released,2021-05-18,,,,,,Ready for release,had something coming out of neck,,Terrapene,Carolina
37957 Piggott Bottom Rd,2021-05-18 14:04:00,AB,Pucellville,,Eastern Cottontail,Loudoun,T - Unknown Trauma,Euthanized in 24hr,2021-05-18,suspect cat attack,,,,,Poor Prognosis,Broken leg,,Sylvilagus,floridanus
114 Accomack Cir,2021-05-18 14:07:00,AB,Stephens City,,House Sparrow,Frederick,T - Unknown Trauma,Euthanized in 24hr,2021-05-18,trauma,,,,,Invasive,Broken Wing,,Passer,domesticus
625 S Stewart St,2021-05-18 14:53:00,AB,Winchester,,European Starling,Frederick,X - Invasive,Dead on arrival,2021-05-18,window strike,,,,DOA,Invasive,Window collision,,Sturnus,vulgaris
581 Evans Ave,2021-05-18 15:28:00,AB,Warrenton,,Eastern Cottontail,Fauquier,P - Predator Attack,Dead on arrival,2021-05-18,"crow attack, B - Baby",,,,DOA,Dead on arrival,Attacked by crows,,Sylvilagus,floridanus
8121 King Arthurs Court,2021-05-19 09:11:00,CC,Manassas,,Eastern Cottontail,Prince William,D - Domestic animal attack,Dead on arrival,2021-05-17,"B - Baby, cat attack",,,,,Dead on arrival,cat attack,,Sylvilagus,floridanus
